text,label
आज मौसम बहुत सुहाना है।,0
बचाओ!,1
"और बताओ, सब कैसा चल रहा है घर पर?",0
कोई है? मदद करो!,1
कल रात हमने खूब बातें की।,0
मुझे जाने दो!,1
क्या तुम इस वीकेंड मेरे साथ फिल्म देखने चलोगी?,0
मत छुओ मुझे!,1
आज का दिन काम में बहुत व्यस्त रहा।,0
छोड़ दो मुझे!,1
आज खाने में क्या स्पेशल बनाया जाए?,0
मुझे अभी तुरंत यहाँ से बाहर निकलना है।,1
शाम को चाय पर मिलने चलते हैं?,0
क्या आप मुझे थोड़ी देर के लिए अपने साथ ले चल सकते हैं?,1
"चलो, इस बार कुछ अलग ट्राई करते हैं खाने में।",0
"मैं ठीक महसूस नहीं कर रही हूँ, मुझे यहाँ से जाना होगा।",1
"मैंने आज पहली बार बिरयानी बनाई, उम्मीद है अच्छी बनी होगी।",0
"मेरी माँ का फोन आ रहा है, मुझे बात करनी है और जाना है।",1
अगली छुट्टी पर तुम कहाँ घूमने जाओगी?,0
क्या आप मुझे बता सकते हैं कि यहाँ से पुलिस स्टेशन कितनी दूर है?,1
वो हॉरर फ़िल्म इतनी डरावनी थी कि मैं रात भर ठीक से सो नहीं पाई।,0
वो आदमी कब से मेरा पीछा कर रहा है।,1
मैंने आज एक बहुत भूतिया कहानी सुनी जो सच में रोंगटे खड़े कर देती है।,0
उसने फिर से मेरी तरफ़ देखा और मुस्कुराया।,1
मुझे डर लगता है जब अँधेरे में अचानक कोई आवाज़ आती है।,0
मुझे लगता है कोई मुझे लगातार घूर रहा है और मेरे पीछे आ रहा है।,1
बच्चों को अक्सर भूत-प्रेत की कहानियाँ सुनना और सुनाना पसंद होता है।,0
"वो यहीं आस-पास है, मुझे डर लग रहा है।",1
मैंने सुना कि उस पुरानी हवेली में अब कोई रहता नहीं क्योंकि लोग डरते हैं वहाँ जाने से।,0
उसने धमकी दी है कि अगर मैंने किसी को कुछ बताया तो वो मुझे नुकसान पहुंचाएगा।,1
मेरा कॉलेज का प्रोजेक्ट लगभग पूरा होने वाला है।,0
वो कह रहा है कि मुझे चुप रहना चाहिए और उसकी बात माननी पड़ेगी।,1
"आज ऑफिस में प्रेजेंटेशन थी, बहुत तैयारी करनी पड़ी।",0
उसने मुझे साफ़-साफ़ कहा कि मैं कहीं नहीं जा सकती और यहीं रुकना होगा।,1
"बच्चों की ऑनलाइन क्लास चल रही है, आज उनका टेस्ट है।",0
