text,label
Chai piyein?,0
Kya haal hai?,0
Thoda late ho gaya.,0
Aaj weather accha hai.,0
Movie dekhte hain?,0
Dinner mein kya banaye?,0
Kab milna hai?,0
Kal shopping chalte hain kya?,0
Yeh dress bohot sundar lag rahi hai.,0
Us cafe ka coffee bahut accha hai.,0
Phone charge karna bhool gayi main.,0
Online kuch order karna hai kya?,0
Woh project kal submit karna hai.,0
Metro se jaana theek rahega.,0
Weekend pe kya plan hai?,0
"Yaar, yeh traffic toh khatam hi nahi hota.",0
"Meri friend ki shaadi hai next month, excited hoon.",0
"Woh nayi series dekhi tumne, kya amazing thi!",0
"Aaj office mein bohot kaam tha, thak gayi main.",0
Ghar aate hi thoda rest karungi phir dinner banayenge.,0
"Kal ek important meeting hai, uski preparation karni hai.",0
"Soch rahi hoon ek naya course join karun, kya lagta hai?",0
"Uss restaurant ka pizza try kiya, it was really good.",0
"Papa ko medicine leni hai, main unke liye lekar aati hoon.",0
"Chalo, ab ghar chalte hain, kaafi der ho gayi hai.",0
Bachao mujhe please!,1
Chhod do mujhe.,1
Mat karo yeh.,1
Mujhe jaane do.,1
Mera haath chhod.,1
Koi hai kya yahan?,1
Help! Koi meri awaaz sun raha hai?,1
Mujhe dar lag raha hai yahan.,1
Yeh jagah safe nahi lag rahi.,1
Bahut uneasy feel ho raha hai.,1
Main bohot ghabra gayi hoon.,1
Woh mera peecha kar raha hai.,1
Woh car phir se slow ho gayi hai mere paas.,1
Woh admi mere piche aa raha hai kab se.,1
"Main andar band hoon, lock khul nahi raha.",1
"Mujhe yahan se nikalna hai, woh jaane nahi de rahe.",1
"Darwaza locked hai, main bahar nahi jaa pa rahi.",1
"Call karna meri didi ko, code hai 'morning chai'.",1
Meri friend ko message karna 'urgent delivery'.,1
Agar call cut ho jaye toh police ko inform kar dena.,1
"Meri location le lo, main problem mein hoon.",1
"Papa ko phone karna, bolna 'light off hai'.",1
"Jaldi se ambulance bulao, mujhe chot lagi hai.",1
"Main bilkul theek nahi hoon, please help.",1
Woh admi drunk hai aur mujhe follow kar raha hai.,1
