text,label
He's watching me through the window right now.,1
वो आदमी कब से मेरा पीछा कर रहा है।,1
"I don't feel safe right now, I need to get out of here.",1
I'm running a bit late.,0
"मत छुओ मुझे, दूर रहो!",1
क्या तुम्हें वो नंबर याद है जो मैंने तुम्हें इमरजेंसी के लिए दिया था?,1
कल क्या प्लान है?,0
"We were discussing all the different travel plans for our summer vacation, but nothing is finalized yet.",0
मुझे लगता है बारिश आने वाली है।,0
We should definitely try that new Italian restaurant downtown soon.,0
"मुझे यहां से निकालो, प्लीज़!",1
He's right behind me.,1
We should definitely try that new Italian restaurant next week.,0
"Please, I just want to leave, let me out of here.",1
मुझे अपने घर की साफ-सफाई करनी है।,0
"You're coming with me, whether you like it or not.",1
We should definitely try that new restaurant next week.,0
"My phone battery is almost dead, I need to find a charger quickly.",0
"मेरी तबीयत ठीक नहीं लग रही, मुझे सांस नहीं आ रही।",1
Stop it! Stop touching me!,1
"That's absolutely hilarious, seriously, I can't stop laughing.",0
मैंने नई साड़ी खरीदी है।,0
"This pasta is absolutely delicious, I need to get the recipe.",0
"He's threatening to expose some private information about me if I don't do exactly what he says, I don't know what to do.",1
"हाँ, बिल्कुल सही कह रही हो तुम।",0
ये नई फिल्म कब रिलीज़ हो रही है?,0
"मुझे बहुत डर लग रहा है, मुझे लगता है कुछ गलत होने वाला है।",1
"मेरा पर्स खो गया है और मैं अकेली हूँ, मुझे मदद चाहिए।",1
क्या तुम्हें याद है कि हमने पिछली गर्मियों में पहाड़ों पर कितना मज़ा किया था?,0
"He has a knife, please be quiet.",1
"I can't breathe, please.",1
I can't leave.,1
"This doesn't feel right, I need to disappear for a bit.",1
"I'm thinking of trying out that new recipe for pasta tonight, it looks really delicious.",0
It looks like it's finally going to stop raining tomorrow.,0
"I'm so excited about our vacation next month, I've already started planning all the sightseeing.",0
आजकल सब्जियों के दाम बहुत बढ़ गए हैं।,0
That roller coaster was absolutely terrifying but also incredibly fun.,0
"My sister just got a promotion, I'm so proud of her.",0
उसने धमकी दी है कि अगर मैंने किसी को बताया तो...,1
"दरवाज़ा बंद है और चाबी नहीं मिल रही, मैं यहाँ से निकल नहीं सकती।",1
I'll meet you there.,0
आज काम कैसा रहा तुम्हारा?,0
That horror film gave me nightmares for days.,0
He threatened to hurt my family if I scream.,1
"I was watching that documentary last night, and the part about the deep sea creatures was genuinely fascinating.",0
"This coffee is way too hot, I almost burned my tongue.",0
"I finished reading that book you recommended, it was quite interesting.",0
"He won't let me use my phone, I'm trapped.",1
"मेरी साँस घुट रही है, मुझे यहाँ से निकालो।",1
"I need to use the restroom, I'll be right back.",1
The bus is late again.,0
"उसने नई किताब खरीदी है, क्या तुमने पढ़ी?",0
मुझे डर लगता है जब अँधेरे में अचानक कोई आवाज़ आती है।,0
"तुम मुझे मत छुओ, मुझे घिन आती है तुमसे।",1
"वो यहीं आस-पास है, मैं उसे महसूस कर सकती हूँ।",1
"I'm scared, I really don't feel safe walking alone.",1
"Could you please call my sister, the one named Mary?",1
"We spent the entire afternoon just chatting and laughing at the cafe, it was lovely catching up.",0
आज मौसम बहुत अच्छा है।,0
"This soup needs a little more spice, don't you think?",0
उसने मेरी चाबी ले ली है और फोन भी छीन लिया है।,1
"वो हॉरर फ़िल्म बहुत डरावनी थी, मैं रात भर सो नहीं पाई।",0
I overheard them discussing the new project and it sounds really challenging but also exciting.,0
"और बताओ, सब कैसा चल रहा है घर पर?",0
मेरी दोस्त ने मुझे आज एक मज़ेदार किस्सा सुनाया।,0
I heard they're opening a new art exhibition downtown and I'm really excited to check it out.,0
The bus is finally here.,0
"I think I might have left the stove on, I need to rush home.",1
"अरे सुनो, एक बात बतानी है तुम्हें।",0
The weather forecast says it's going to rain all weekend.,0
He said he knows where I live and will come for me.,1
"He told me if I don't comply, he'll make sure my family suffers the consequences, I'm so terrified.",1
वो आदमी मुझे घूर रहा है और मेरे पीछे आ रहा है।,1
"I'm really looking forward to our vacation next month, I've been dreaming of that beach for ages now.",0
Let's grab some lunch before we head back to work.,0
रात के खाने में क्या बनाना चाहिए?,0
Call the police.,1
क्या तुम्हें आज शाम को मेरे साथ चलना है?,0
"Please, I'm just going to step outside for a quick second.",1
Let's meet up at the cafe around three o'clock.,0
"Seriously, the new horror film we watched last night had me jumping out of my seat every five minutes, it was fantastic.",0
अगर मैंने शोर मचाया तो वो बुरा करेगा।,1
कोई है क्या? मुझे डर लग रहा है।,1
"अरे, ये कौन सा गाना बज रहा है, मुझे बहुत पसंद है।",0
"Honestly, I'm just so tired of this constant traffic.",0
भूत-प्रेत की कहानियाँ सुनना मुझे पसंद है।,0
"We were discussing all the exciting plans for the upcoming birthday party, like the decorations and the cake.",0
This weather is perfect for a walk in the park.,0
"यह आदमी मेरा पीछा कर रहा है, क्या आप देख सकते हैं?",1
"I finished reading that book you recommended, it was quite good.",0
वह मुझे धमकी दे रहा है कि अगर मैंने कुछ किया तो...,1
"दरवाज़ा बंद है, मैं निकल नहीं सकती यहाँ से।",1
Can you pass the salt?,0
"I'm going to drop my phone, if you hear that, it means I'm in trouble.",1
मुझे एक कप चाय मिलेगी?,0
Did you watch that new sci-fi series everyone's been talking about online?,0
मैं इस कमरे से बाहर नहीं निकल पा रही हूँ।,1
"I need to make a quick call, just going to step out for some air.",1
Is anyone there? Can you hear me? I need assistance.,1
"This man is making me really uncomfortable, he keeps staring.",1
मुझे अभी तुरंत यहाँ से बाहर निकलना है।,1
"I need help, now.",1
डरावनी आवाज़ें सुनकर मैं चौंक गई।,0
"I'm not safe here, I really need to get away from him.",1
उसने बताया कि भूत वाली फिल्म बहुत डरावनी थी पर हम सुरक्षित घर पर हैं।,0
तुम्हारा वीकेंड कैसा रहा?,0
"If you're listening, I'm at the address I sent you earlier, please send help now.",1
मुझे लग रहा है कोई मेरा पीछा कर रहा है।,1
